episode,reward,steps,epsilon,loss
0,-9.435164807134504,6,0.995,
1,-13.74277707691661,15,0.990025,
2,-9.269081691818101,12,0.985074875,1.0515657663345337
3,-13.184993325161972,71,0.9801495006250001,0.5359067320823669
4,-11.049004010479901,40,0.9752487531218751,0.06557096540927887
5,-8.728078040581256,24,0.9703725093562657,0.009173551574349403
6,-11.143028852134924,24,0.9655206468094844,0.05849415808916092
7,-9.612440246523406,13,0.960693043575437,0.015376420691609383
8,-13.869884549202146,10,0.9558895783575597,0.4203222393989563
9,-13.964487907918494,14,0.9511101304657719,0.06231369823217392
10,-14.816262005625475,28,0.946354579813443,0.18858644366264343
11,-12.451105143524277,12,0.9416228069143757,0.16344915330410004
12,-13.489410425091533,17,0.9369146928798039,0.05430956929922104
13,-9.81896414141191,23,0.9322301194154049,0.062240831553936005
14,-12.493086509790658,21,0.9275689688183278,0.06573863327503204
15,-13.811352062657365,10,0.9229311239742362,0.09825363755226135
16,-15.229494936611662,34,0.918316468354365,0.10072027146816254
17,-9.788551761156281,18,0.9137248860125932,0.04735567420721054
18,-13.077092941164047,41,0.9091562615825302,0.07326015830039978
19,-13.200808971482545,21,0.9046104802746175,0.03531363606452942
20,-17.694778338805012,54,0.9000874278732445,0.05173424631357193
21,-14.720898119699868,31,0.8955869907338783,0.04470839351415634
22,-13.09564837049545,57,0.8911090557802088,0.025525132194161415
23,-10.14,15,0.8866535105013078,0.03550446033477783
24,-15.965463332229724,36,0.8822202429488013,0.03830435127019882
25,-10.06,7,0.8778091417340573,0.42020824551582336
26,-15.505352771872445,33,0.8734200960253871,0.025504354387521744
27,-13.224201712444149,8,0.8690529955452602,0.01585593819618225
28,-11.73125745517715,21,0.8647077305675338,0.05067462474107742
29,-12.605671968072773,14,0.8603841919146962,0.540960431098938
30,-13.309096829634715,17,0.8560822709551227,0.039064981043338776
31,-14.702323700272837,18,0.851801859600347,0.06277967244386673
32,-13.85190244963638,21,0.8475428503023453,0.4340529441833496
33,-17.71047027863873,22,0.8433051360508336,0.08596563339233398
34,-9.463105625617658,35,0.8390886103705794,0.27256202697753906
35,-14.59848595385845,35,0.8348931673187264,0.07772856205701828
36,-12.392394723237384,62,0.8307187014821328,0.03369748592376709
37,-13.26515138991168,11,0.8265651079747222,0.017394093796610832
38,-15.303933591066938,23,0.8224322824348486,0.039546892046928406
39,-14.123485098925117,17,0.8183201210226743,0.04394986853003502
40,-15.136816319213615,19,0.8142285204175609,0.027808306738734245
41,-11.19,20,0.810157377815473,0.10028238594532013
42,-15.887615684065707,42,0.8061065909263957,0.054271623492240906
43,-9.625983532292947,36,0.8020760579717637,0.12076331675052643
44,-9.951396246230646,37,0.798065677681905,0.041252609342336655
45,-15.179242648225575,21,0.7940753492934954,0.013367782346904278
46,-13.78331223106984,17,0.7901049725470279,0.025437232106924057
47,-13.959261802403532,27,0.7861544476842928,0.028758399188518524
48,-10.06,7,0.7822236754458713,0.025746401399374008
49,-12.673263046909671,62,0.778312557068642,0.0965866819024086
50,-12.120548542477007,31,0.7744209942832988,0.013332623988389969
51,-14.440349084164932,12,0.7705488893118823,0.9413985013961792
52,-12.16,17,0.7666961448653229,0.038669027388095856
53,-11.05165738677394,32,0.7628626641409962,0.048298180103302
54,-6.642774424948339,13,0.7590483508202912,0.025434039533138275
55,-14.305229539944376,8,0.7552531090661897,0.26035478711128235
56,-13.663920216900381,59,0.7514768435208588,0.07283945381641388
57,-12.850415759823429,17,0.7477194593032545,0.08678463101387024
58,-13.175028388445455,21,0.7439808620067382,0.05060706287622452
59,-14.213983175798788,16,0.7402609576967045,0.15452580153942108
60,-13.377149495825147,50,0.736559652908221,0.11334468424320221
61,-15.78232374528266,10,0.7328768546436799,0.06284473836421967
62,-14.676340201239874,9,0.7292124703704616,0.08219390362501144
63,-11.66234677047479,28,0.7255664080186093,0.04727288708090782
64,-12.30975428816943,12,0.7219385759785162,0.12217012047767639
65,-13.764697112686658,20,0.7183288830986236,0.07510148733854294
66,-14.099152122680886,17,0.7147372386831305,0.0654507428407669
67,-14.41235048723787,29,0.7111635524897149,0.47127285599708557
68,-10.951932381252515,23,0.7076077347272662,0.0380764938890934
69,-12.55958424017657,26,0.7040696960536299,0.027798691764473915
70,-11.31837619988946,8,0.7005493475733617,0.11673623323440552
